site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
toronto,metar_CYYZ_SPRING,1.0,15.9,10.8,20.7,438,438,38.3,22.4
toronto,metar_CYYZ_SUMMER,1.0,22.9,18.6,27.2,552,552,49.9,27.0
toronto,metar_CYYZ_AUTUMN,1.0,13.4,8.9,17.9,518,518,39.0,25.7
toronto,metar_CYTZ,1.0,-1.1,-3.9,1.6,1586,1586,49.0,50.2
toronto,goes_nearest,1.0,2.4,-1.4,6.4,900,986,,
toronto,goes_box3,1.0,3.2,-0.7,7.2,900,986,,
toronto,goes_box5,1.0,3.3,-0.6,7.3,900,986,,
toronto,goes_nearest_WINTER,1.0,-1.9,-14.3,11.1,70,66,,
toronto,goes_nearest_SPRING,1.0,-0.5,-8.2,7.2,222,265,,
toronto,goes_nearest_SUMMER,1.0,6.6,-0.2,13.5,290,352,,
toronto,goes_nearest_AUTUMN,1.0,2.5,-4.3,9.4,318,303,,
toronto,goes_nearest_CYTZ,1.0,3.9,-0.1,7.9,900,986,,
toronto,human_minus_goes,1.0,13.7,11.0,16.3,900,986,,
toronto,auto_dod,1.0,18.0,14.1,21.7,,,,
toronto,metar_CYYZ,2.0,16.5,14.0,18.8,1659,1658,40.7,24.3
toronto,metar_CYYZ_WINTER,2.0,3.3,-4.0,10.2,125,124,19.0,15.7
toronto,metar_CYYZ_SPRING,2.0,16.0,11.3,20.5,459,459,37.8,21.9
toronto,metar_CYYZ_SUMMER,2.0,22.9,18.6,27.2,552,552,49.9,27.0
toronto,metar_CYYZ_AUTUMN,2.0,13.4,9.1,17.9,523,523,38.9,25.5
toronto,metar_CYTZ,2.0,-0.9,-3.6,1.7,1658,1658,48.2,49.1
toronto,goes_nearest,2.0,2.8,-1.0,6.6,949,1032,,
toronto,goes_box3,2.0,3.5,-0.3,7.4,949,1032,,
toronto,goes_box5,2.0,3.6,-0.2,7.4,949,1032,,
toronto,goes_nearest_WINTER,2.0,-0.7,-11.0,10.3,104,93,,
toronto,goes_nearest_SPRING,2.0,1.5,-5.9,8.8,234,281,,
toronto,goes_nearest_SUMMER,2.0,6.6,-0.2,13.5,290,352,,
toronto,goes_nearest_AUTUMN,2.0,2.7,-4.2,9.8,321,306,,
toronto,goes_nearest_CYTZ,2.0,4.4,0.5,8.2,949,1032,,
toronto,human_minus_goes,2.0,13.3,10.8,15.9,949,1032,,
toronto,auto_dod,2.0,17.4,13.9,21.1,,,,
toronto,metar_CYYZ,5.0,15.3,12.9,17.5,1844,1842,38.6,23.4
toronto,metar_CYYZ_WINTER,5.0,1.2,-3.6,6.0,257,255,16.9,15.6
toronto,metar_CYYZ_SPRING,5.0,15.9,11.3,20.7,496,496,37.5,21.6
toronto,metar_CYYZ_SUMMER,5.0,22.9,18.6,27.2,552,552,49.9,27.0
toronto,metar_CYYZ_AUTUMN,5.0,13.6,9.3,18.1,539,539,38.5,24.9
toronto,metar_CYTZ,5.0,-1.5,-4.1,1.1,1843,1842,45.5,47.0
toronto,goes_nearest,5.0,1.2,-2.6,4.6,1074,1138,,
toronto,goes_box3,5.0,1.8,-1.9,5.3,1074,1138,,
toronto,goes_box5,5.0,1.8,-1.9,5.3,1074,1138,,
toronto,goes_nearest_WINTER,5.0,-4.9,-12.7,2.8,195,173,,
toronto,goes_nearest_SPRING,5.0,1.7,-5.6,8.6,258,301,,
toronto,goes_nearest_SUMMER,5.0,6.6,-0.2,13.5,290,352,,
toronto,goes_nearest_AUTUMN,5.0,1.6,-5.3,8.8,332,312,,
toronto,goes_nearest_CYTZ,5.0,4.0,0.4,7.6,1074,1138,,
toronto,human_minus_goes,5.0,13.2,10.9,15.5,1073,1137,,
toronto,auto_dod,5.0,16.7,13.2,20.4,,,,
ottawa,metar_CYOW,0.5,14.2,11.4,16.9,1330,1329,36.8,22.7
ottawa,metar_CYOW_WINTER,0.5,-30.4,-76.9,16.7,4,3,50.5,81.0
ottawa,metar_CYOW_SPRING,0.5,11.7,6.3,17.4,322,322,34.2,22.5
ottawa,metar_CYOW_SUMMER,0.5,17.5,13.4,21.7,552,552,37.7,20.3
ottawa,metar_CYOW_AUTUMN,0.5,12.1,7.6,16.8,452,452,37.5,25.4
ottawa,goes_nearest,0.5,4.1,-0.4,8.5,729,817,,
ottawa,goes_box3,0.5,5.0,0.5,9.5,729,817,,
ottawa,goes_box5,0.5,5.7,1.3,10.1,729,817,,
ottawa,goes_nearest_SPRING,0.5,2.0,-7.3,10.9,161,199,,
ottawa,goes_nearest_SUMMER,0.5,7.3,0.6,14.1,287,352,,
ottawa,goes_nearest_AUTUMN,0.5,1.0,-6.6,8.6,278,265,,
ottawa,human_minus_goes,0.5,10.7,7.5,13.7,729,817,,
ottawa,metar_CYOW,1.0,14.0,11.3,16.6,1371,1370,36.6,22.6
ottawa,metar_CYOW_WINTER,1.0,-7.9,-46.6,28.2,9,8,22.5,30.4
ottawa,metar_CYOW_SPRING,1.0,11.6,6.2,16.9,349,349,34.3,22.6
ottawa,metar_CYOW_SUMMER,1.0,17.5,13.4,21.7,552,552,37.7,20.3
ottawa,metar_CYOW_AUTUMN,1.0,12.1,7.5,16.7,461,461,37.3,25.2
ottawa,goes_nearest,1.0,4.2,-0.1,8.5,748,836,,
ottawa,goes_box3,1.0,5.1,0.7,9.4,748,836,,
ottawa,goes_box5,1.0,5.7,1.4,10.1,748,836,,
ottawa,goes_nearest_WINTER,1.0,15.4,-37.9,66.7,6,5,,
ottawa,goes_nearest_SPRING,1.0,2.7,-6.2,11.9,174,212,,
ottawa,goes_nearest_SUMMER,1.0,7.3,0.6,14.1,287,352,,
ottawa,goes_nearest_AUTUMN,1.0,0.9,-6.6,8.9,281,267,,
ottawa,human_minus_goes,1.0,10.4,7.5,13.4,748,836,,
ottawa,metar_CYOW,2.0,13.8,11.3,16.5,1434,1433,36.0,22.2
ottawa,metar_CYOW_WINTER,2.0,-0.4,-17.5,17.2,30,29,21.0,21.5
ottawa,metar_CYOW_SPRING,2.0,11.6,6.6,16.6,372,372,33.7,22.1
ottawa,metar_CYOW_SUMMER,2.0,17.5,13.4,21.7,552,552,37.7,20.3
ottawa,metar_CYOW_AUTUMN,2.0,12.1,7.7,16.6,480,480,36.6,24.5
ottawa,goes_nearest,2.0,3.5,-0.9,7.9,786,870,,
ottawa,goes_box3,2.0,4.3,-0.1,8.8,786,870,,
ottawa,goes_box5,2.0,5.0,0.7,9.4,786,870,,
ottawa,goes_nearest_WINTER,2.0,4.7,-21.5,29.8,20,15,,
ottawa,goes_nearest_SPRING,2.0,0.3,-8.3,8.7,191,230,,
ottawa,goes_nearest_SUMMER,2.0,7.3,0.6,14.1,287,352,,
ottawa,goes_nearest_AUTUMN,2.0,1.6,-6.2,9.3,288,273,,
ottawa,human_minus_goes,2.0,10.4,7.4,13.4,786,870,,
ottawa,metar_CYOW,5.0,13.2,10.8,15.6,1537,1536,35.2,22.0
ottawa,metar_CYOW_WINTER,5.0,-1.0,-12.1,9.9,73,72,19.7,20.7
ottawa,metar_CYOW_SPRING,5.0,11.4,6.5,16.5,405,405,33.8,22.4
ottawa,metar_CYOW_SUMMER,5.0,17.5,13.4,21.7,552,552,37.7,20.3
ottawa,metar_CYOW_AUTUMN,5.0,12.0,7.5,16.7,507,507,35.8,23.8
ottawa,goes_nearest,5.0,2.4,-1.7,6.5,858,938,,
ottawa,goes_box3,5.0,3.2,-0.9,7.3,858,938,,
ottawa,goes_box5,5.0,3.7,-0.5,7.7,858,938,,
ottawa,goes_nearest_WINTER,5.0,-13.2,-31.6,4.5,47,40,,
ottawa,goes_nearest_SPRING,5.0,1.4,-6.7,9.3,220,258,,
ottawa,goes_nearest_SUMMER,5.0,7.3,0.6,14.1,287,352,,
ottawa,goes_nearest_AUTUMN,5.0,0.5,-6.4,7.5,305,288,,
ottawa,human_minus_goes,5.0,10.4,7.6,13.2,858,938,,
montreal,metar_CYUL,0.5,17.1,14.1,19.9,1315,1314,40.6,23.4
montreal,metar_CYUL_WINTER,0.5,10.5,-23.9,41.7,11,10,32.0,21.4
montreal,metar_CYUL_SPRING,0.5,13.8,8.0,19.7,295,295,37.4,23.6
montreal,metar_CYUL_SUMMER,0.5,19.3,15.1,23.5,552,552,42.0,22.7
montreal,metar_CYUL_AUTUMN,0.5,16.9,12.1,21.8,457,457,41.1,24.2
montreal,metar_CYHU,0.5,3.6,0.5,6.7,1314,1314,46.4,42.8
montreal,goes_nearest,0.5,0.4,-4.1,5.3,709,800,,
montreal,goes_box3,0.5,-0.3,-4.8,4.5,709,800,,
montreal,goes_box5,0.5,-0.5,-4.9,4.4,709,800,,
montreal,goes_nearest_SPRING,0.5,-2.7,-11.9,6.6,149,188,,
montreal,goes_nearest_SUMMER,0.5,-0.5,-7.4,6.3,283,351,,
montreal,goes_nearest_AUTUMN,0.5,3.2,-4.7,11.1,274,260,,
montreal,goes_nearest_CYHU,0.5,-0.3,-4.7,4.2,709,800,,
montreal,human_minus_goes,0.5,15.8,12.6,18.9,709,800,,
montreal,auto_dod,0.5,13.5,9.4,17.7,,,,
montreal,metar_CYUL,1.0,16.8,14.1,19.6,1348,1347,40.1,23.3
montreal,metar_CYUL_WINTER,1.0,4.9,-18.8,27.5,21,20,28.5,23.6
montreal,metar_CYUL_SPRING,1.0,13.4,7.5,19.1,308,308,36.6,23.3
montreal,metar_CYUL_SUMMER,1.0,19.3,15.1,23.5,552,552,42.0,22.7
montreal,metar_CYUL_AUTUMN,1.0,16.7,12.0,21.5,467,467,40.7,24.0
montreal,metar_CYHU,1.0,3.3,0.3,6.3,1347,1347,45.8,42.5
montreal,goes_nearest,1.0,0.3,-4.2,4.8,729,819,,
montreal,goes_box3,1.0,-0.3,-4.9,4.1,729,819,,
montreal,goes_box5,1.0,-0.5,-5.1,4.0,729,819,,
montreal,goes_nearest_WINTER,1.0,-16.7,-58.0,24.5,11,8,,
montreal,goes_nearest_SPRING,1.0,-2.3,-11.4,7.0,157,196,,
montreal,goes_nearest_SUMMER,1.0,-0.5,-7.4,6.3,283,351,,
montreal,goes_nearest_AUTUMN,1.0,3.3,-4.4,10.9,278,264,,
montreal,goes_nearest_CYHU,1.0,-0.2,-4.6,4.1,729,819,,
montreal,human_minus_goes,1.0,15.5,12.5,18.5,729,819,,
montreal,auto_dod,1.0,13.5,9.4,17.6,,,,
montreal,metar_CYUL,2.0,16.5,13.9,19.2,1415,1414,39.6,23.1
montreal,metar_CYUL_WINTER,2.0,8.6,-5.3,22.3,48,47,27.4,18.8
montreal,metar_CYUL_SPRING,2.0,13.0,7.1,18.5,339,339,36.6,23.5
montreal,metar_CYUL_SUMMER,2.0,19.3,15.1,23.5,552,552,42.0,22.7
montreal,metar_CYUL_AUTUMN,2.0,16.5,11.9,21.0,476,476,40.2,23.6
montreal,metar_CYHU,2.0,3.0,0.0,6.0,1414,1414,45.1,42.1
montreal,goes_nearest,2.0,0.3,-4.1,4.5,767,856,,
montreal,goes_box3,2.0,-0.6,-4.9,3.6,767,856,,
montreal,goes_box5,2.0,-0.9,-5.3,3.5,767,856,,
montreal,goes_nearest_WINTER,2.0,6.0,-16.6,28.4,29,26,,
montreal,goes_nearest_SPRING,2.0,-3.2,-11.7,5.5,173,212,,
montreal,goes_nearest_SUMMER,2.0,-0.5,-7.4,6.3,283,351,,
montreal,goes_nearest_AUTUMN,2.0,3.1,-5.0,10.6,282,267,,
montreal,goes_nearest_CYHU,2.0,-0.4,-4.9,3.8,767,856,,
montreal,human_minus_goes,2.0,15.0,12.1,17.9,767,856,,
montreal,auto_dod,2.0,13.5,9.5,17.4,,,,
montreal,metar_CYUL,5.0,15.8,13.2,18.3,1530,1529,38.3,22.5
montreal,metar_CYUL_WINTER,5.0,5.5,-4.8,15.6,87,86,22.4,16.9
montreal,metar_CYUL_SPRING,5.0,13.0,8.0,18.1,380,380,36.2,23.2
montreal,metar_CYUL_SUMMER,5.0,19.3,15.1,23.5,552,552,42.0,22.7
montreal,metar_CYUL_AUTUMN,5.0,15.8,11.4,20.6,511,511,38.6,22.8
montreal,metar_CYHU,5.0,2.6,-0.1,5.4,1529,1529,43.4,40.8
montreal,goes_nearest,5.0,0.2,-3.9,4.3,845,931,,
montreal,goes_box3,5.0,-0.9,-5.0,3.2,845,931,,
montreal,goes_box5,5.0,-1.1,-5.1,3.1,845,931,,
montreal,goes_nearest_WINTER,5.0,0.4,-14.9,14.2,57,50,,
montreal,goes_nearest_SPRING,5.0,-1.5,-9.9,6.7,202,240,,
montreal,goes_nearest_SUMMER,5.0,-0.5,-7.4,6.3,283,351,,
montreal,goes_nearest_AUTUMN,5.0,3.2,-4.1,10.2,304,290,,
montreal,goes_nearest_CYHU,5.0,-0.6,-4.7,3.5,845,931,,
montreal,human_minus_goes,5.0,14.0,11.3,16.7,845,931,,
montreal,auto_dod,5.0,13.1,9.3,16.9,,,,
halifax,metar_CYHZ,0.5,12.4,9.9,14.8,1434,1433,30.8,18.3
halifax,metar_CYHZ_WINTER,0.5,7.3,-4.1,19.1,60,59,24.4,17.1
halifax,metar_CYHZ_SPRING,0.5,13.0,7.7,18.0,306,306,29.8,16.8
halifax,metar_CYHZ_SUMMER,0.5,12.8,8.9,16.8,552,552,30.4,17.6
halifax,metar_CYHZ_AUTUMN,0.5,12.2,8.2,16.6,516,516,32.5,20.2
halifax,goes_nearest,0.5,0.3,-3.4,4.5,819,887,,
halifax,goes_box3,0.5,0.3,-3.6,4.4,819,887,,
halifax,goes_box5,0.5,0.2,-3.6,4.6,819,887,,
halifax,goes_nearest_WINTER,0.5,-13.2,-30.7,4.2,45,37,,
halifax,goes_nearest_SPRING,0.5,-3.7,-12.8,5.3,169,206,,
halifax,goes_nearest_SUMMER,0.5,5.8,-1.0,12.7,288,349,,
halifax,goes_nearest_AUTUMN,0.5,-0.6,-7.4,6.2,318,295,,
halifax,human_minus_goes,0.5,12.3,9.0,15.5,819,887,,
halifax,metar_CYHZ,1.0,12.3,9.9,14.7,1507,1506,30.5,18.2
halifax,metar_CYHZ_WINTER,1.0,6.8,-1.9,15.9,86,85,22.2,15.4
halifax,metar_CYHZ_SPRING,1.0,12.6,7.6,17.6,342,342,29.8,17.2
halifax,metar_CYHZ_SUMMER,1.0,12.8,8.9,16.8,552,552,30.4,17.6
halifax,metar_CYHZ_AUTUMN,1.0,12.3,8.3,16.5,527,527,32.3,20.0
halifax,goes_nearest,1.0,-0.1,-3.9,3.5,866,936,,
halifax,goes_box3,1.0,0.1,-3.8,3.7,866,936,,
halifax,goes_box5,1.0,-0.0,-3.8,3.5,866,936,,
halifax,goes_nearest_WINTER,1.0,-12.8,-27.5,1.9,70,56,,
halifax,goes_nearest_SPRING,1.0,-4.1,-12.5,4.0,188,229,,
halifax,goes_nearest_SUMMER,1.0,5.8,-1.0,12.7,288,349,,
halifax,goes_nearest_AUTUMN,1.0,0.0,-6.6,7.1,323,302,,
halifax,human_minus_goes,1.0,12.3,9.3,15.5,866,936,,
halifax,metar_CYHZ,2.0,12.2,9.7,14.5,1612,1612,30.0,17.9
halifax,metar_CYHZ_WINTER,2.0,6.2,-0.8,13.2,129,129,20.8,14.6
halifax,metar_CYHZ_SPRING,2.0,13.2,8.5,17.7,393,393,29.7,16.5
halifax,metar_CYHZ_SUMMER,2.0,12.8,8.9,16.8,552,552,30.4,17.6
halifax,metar_CYHZ_AUTUMN,2.0,12.1,7.9,16.1,538,538,32.1,20.0
halifax,goes_nearest,2.0,-0.4,-4.4,3.3,943,1004,,
halifax,goes_box3,2.0,0.0,-4.0,3.8,943,1004,,
halifax,goes_box5,2.0,-0.1,-4.1,3.6,943,1004,,
halifax,goes_nearest_WINTER,2.0,-13.6,-24.9,-2.5,106,84,,
halifax,goes_nearest_SPRING,2.0,-2.2,-10.2,5.7,220,261,,
halifax,goes_nearest_SUMMER,2.0,5.8,-1.0,12.7,288,349,,
halifax,goes_nearest_AUTUMN,2.0,0.3,-6.3,6.9,332,310,,
halifax,human_minus_goes,2.0,12.4,9.3,15.2,942,1004,,
halifax,metar_CYHZ,5.0,11.6,9.5,13.8,1764,1764,29.1,17.5
halifax,metar_CYHZ_WINTER,5.0,5.2,-0.1,10.4,225,225,19.7,14.5
halifax,metar_CYHZ_SPRING,5.0,12.9,8.7,17.3,444,444,28.8,15.9
halifax,metar_CYHZ_SUMMER,5.0,12.8,8.9,16.8,552,552,30.4,17.6
halifax,metar_CYHZ_AUTUMN,5.0,12.0,7.9,16.1,543,543,31.8,19.8
halifax,goes_nearest,5.0,-1.1,-4.6,2.7,1055,1105,,
halifax,goes_box3,5.0,-0.7,-4.3,3.0,1055,1105,,
halifax,goes_box5,5.0,-0.9,-4.5,2.8,1055,1105,,
halifax,goes_nearest_WINTER,5.0,-9.2,-17.4,-1.7,188,161,,
halifax,goes_nearest_SPRING,5.0,-3.4,-10.4,4.3,247,283,,
halifax,goes_nearest_SUMMER,5.0,5.8,-1.0,12.7,288,349,,
halifax,goes_nearest_AUTUMN,5.0,0.5,-6.3,7.2,335,312,,
halifax,human_minus_goes,5.0,11.8,9.1,14.6,1054,1105,,
