site,family,station,footprint,window,n_nights,n_days,n_draws_night,n_draws_day,night_pct,day_pct,delta_pp,ci_lo,ci_hi
vancouver,east,CYXX,nearest,winter,510,421,5000,5000,14.3,12.2,2.1,-2.0,6.0
vancouver,east,CYXX,nearest,spring,476,514,5000,5000,27.5,23.5,4.1,-0.8,9.1
vancouver,east,CYXX,nearest,summer,407,528,5000,5000,51.2,50.7,0.5,-5.2,6.4
vancouver,east,CYXX,nearest,autumn,505,458,5000,5000,27.7,26.3,1.4,-3.6,6.5
vancouver,east,CYXX,box3,full,1898,1921,5000,5000,29.1,28.7,0.4,-2.2,3.0
vancouver,east,CYXX,box3,calendar_JunNov,912,986,5000,5000,38.3,38.8,-0.5,-4.7,3.6
vancouver,east,CYXX,box3,winter,510,421,5000,5000,14.4,12.2,2.1,-2.0,6.0
vancouver,east,CYXX,box3,spring,476,514,5000,5000,27.2,22.8,4.4,-0.5,9.5
vancouver,east,CYXX,box3,summer,407,528,5000,5000,51.7,50.2,1.5,-4.1,7.5
vancouver,east,CYXX,box3,autumn,505,458,5000,5000,27.6,25.7,1.8,-3.2,7.0
vancouver,east,CYXX,box5,full,1898,1921,5000,5000,29.1,28.4,0.8,-1.9,3.3
vancouver,east,CYXX,box5,calendar_JunNov,912,986,5000,5000,38.8,38.7,0.1,-4.3,4.2
vancouver,east,CYXX,box5,winter,510,421,5000,5000,14.2,12.1,2.1,-1.9,6.0
vancouver,east,CYXX,box5,spring,476,514,5000,5000,26.6,21.8,4.8,-0.2,9.9
vancouver,east,CYXX,box5,summer,407,528,5000,5000,52.3,49.9,2.4,-3.5,8.5
vancouver,east,CYXX,box5,autumn,505,458,5000,5000,27.9,25.8,2.1,-3.0,7.1
vancouver,west,CYVR,nearest,full,1833,1915,5000,5000,35.0,34.6,0.4,-2.4,3.1
vancouver,west,CYVR,nearest,calendar_JunNov,868,980,5000,5000,46.5,43.9,2.5,-1.6,6.6
vancouver,west,CYVR,nearest,winter,513,421,5000,5000,16.3,15.5,0.8,-3.2,4.9
vancouver,west,CYVR,nearest,spring,452,514,5000,5000,34.1,32.6,1.6,-3.7,7.0
vancouver,west,CYVR,nearest,summer,380,526,5000,5000,60.3,53.7,6.6,0.9,12.6
vancouver,west,CYVR,nearest,autumn,488,454,5000,5000,35.6,32.6,3.0,-2.5,8.5
vancouver,west,CYVR,box3,full,1833,1915,5000,5000,34.5,34.3,0.2,-2.5,3.0
vancouver,west,CYVR,box3,calendar_JunNov,868,980,5000,5000,46.3,43.9,2.4,-1.7,6.5
vancouver,west,CYVR,box3,winter,513,421,5000,5000,15.0,14.2,0.8,-3.4,4.9
vancouver,west,CYVR,box3,spring,452,514,5000,5000,33.9,32.2,1.6,-3.7,7.1
vancouver,west,CYVR,box3,summer,380,526,5000,5000,60.0,53.3,6.7,0.9,12.6
vancouver,west,CYVR,box3,autumn,488,454,5000,5000,35.6,33.1,2.5,-3.2,8.0
vancouver,west,CYVR,box5,full,1833,1915,5000,5000,34.0,34.3,-0.4,-3.1,2.4
vancouver,west,CYVR,box5,calendar_JunNov,868,980,5000,5000,46.1,44.7,1.4,-2.8,5.4
vancouver,west,CYVR,box5,winter,513,421,5000,5000,14.0,13.6,0.4,-3.8,4.3
vancouver,west,CYVR,box5,spring,452,514,5000,5000,33.5,31.7,1.8,-3.6,7.4
vancouver,west,CYVR,box5,summer,380,526,5000,5000,59.7,55.0,4.7,-1.4,10.9
vancouver,west,CYVR,box5,autumn,488,454,5000,5000,35.4,32.6,2.8,-2.8,8.3
vancouver,west,CYXX,nearest,full,1833,1915,5000,5000,32.6,32.2,0.3,-2.5,3.1
vancouver,west,CYXX,nearest,calendar_JunNov,868,980,5000,5000,42.7,42.3,0.4,-3.7,4.4
vancouver,west,CYXX,nearest,winter,513,421,5000,5000,16.7,16.3,0.4,-3.9,4.6
vancouver,west,CYXX,nearest,spring,452,514,5000,5000,31.2,26.1,5.1,0.2,10.4
vancouver,west,CYXX,nearest,summer,380,526,5000,5000,55.2,52.6,2.6,-3.3,8.9
vancouver,west,CYXX,nearest,autumn,488,454,5000,5000,32.9,30.3,2.6,-2.5,8.4
vancouver,west,CYXX,box3,full,1833,1915,5000,5000,32.5,31.9,0.7,-2.1,3.4
vancouver,west,CYXX,box3,calendar_JunNov,868,980,5000,5000,42.5,42.0,0.6,-3.6,4.7
vancouver,west,CYXX,box3,winter,513,421,5000,5000,17.2,15.9,1.3,-2.9,5.4
vancouver,west,CYXX,box3,spring,452,514,5000,5000,30.8,25.7,5.1,0.0,10.4
vancouver,west,CYXX,box3,summer,380,526,5000,5000,55.5,52.5,3.0,-3.1,9.5
vancouver,west,CYXX,box3,autumn,488,454,5000,5000,32.5,29.8,2.7,-2.6,8.5
vancouver,west,CYXX,box5,full,1833,1915,5000,5000,32.5,31.5,1.0,-1.9,3.8
vancouver,west,CYXX,box5,calendar_JunNov,868,980,5000,5000,42.4,41.5,0.9,-3.3,5.0
vancouver,west,CYXX,box5,winter,513,421,5000,5000,17.2,15.7,1.5,-2.9,5.5
vancouver,west,CYXX,box5,spring,452,514,5000,5000,31.0,25.5,5.5,0.4,10.8
vancouver,west,CYXX,box5,summer,380,526,5000,5000,55.7,51.8,4.0,-2.0,10.3
vancouver,west,CYXX,box5,autumn,488,454,5000,5000,32.0,29.6,2.3,-2.9,8.0
winnipeg,east,CYWG,nearest,full,1883,1925,5000,5000,44.7,38.8,5.9,3.3,8.8
winnipeg,east,CYWG,nearest,calendar_JunNov,913,988,5000,5000,45.2,40.4,4.8,0.9,8.6
winnipeg,east,CYWG,nearest,winter,515,426,5000,5000,47.0,37.4,9.6,3.6,15.5
winnipeg,east,CYWG,nearest,spring,455,511,5000,5000,41.3,36.9,4.4,-1.1,9.7
winnipeg,east,CYWG,nearest,summer,404,526,5000,5000,54.5,47.5,7.0,1.3,12.4
winnipeg,east,CYWG,nearest,autumn,509,462,5000,5000,37.8,32.3,5.5,-0.1,10.8
winnipeg,east,CYWG,box3,full,1883,1925,5000,5000,44.8,39.1,5.7,3.0,8.5
winnipeg,east,CYWG,box3,calendar_JunNov,913,988,5000,5000,45.1,40.9,4.2,0.3,8.1
winnipeg,east,CYWG,box3,winter,515,426,5000,5000,46.9,37.2,9.6,3.6,15.3
winnipeg,east,CYWG,box3,spring,455,511,5000,5000,41.9,37.3,4.6,-0.9,9.7
winnipeg,east,CYWG,box3,summer,404,526,5000,5000,54.6,47.8,6.8,1.1,12.2
winnipeg,east,CYWG,box3,autumn,509,462,5000,5000,37.5,33.0,4.6,-1.0,10.0
winnipeg,east,CYWG,box5,full,1883,1925,5000,5000,44.7,38.7,6.0,3.4,8.8
winnipeg,east,CYWG,box5,calendar_JunNov,913,988,5000,5000,44.8,40.9,3.9,0.1,7.8
winnipeg,east,CYWG,box5,winter,515,426,5000,5000,47.5,35.6,11.9,5.9,17.7
winnipeg,east,CYWG,box5,spring,455,511,5000,5000,41.4,37.1,4.2,-1.3,9.5
winnipeg,east,CYWG,box5,summer,404,526,5000,5000,54.6,47.7,6.9,1.2,12.6
winnipeg,east,CYWG,box5,autumn,509,462,5000,5000,37.1,33.2,3.9,-1.7,9.2
