site,family,station,footprint,window,n_nights,n_days,n_draws_night,n_draws_day,night_pct,day_pct,delta_pp,ci_lo,ci_hi
calgary,west,CYYC,nearest,full,1825,1928,5000,5000,37.0,36.1,0.9,-1.8,3.6
calgary,west,CYYC,nearest,calendar_JunNov,869,990,5000,5000,41.1,41.5,-0.5,-4.4,3.5
calgary,west,CYYC,nearest,winter,513,422,5000,5000,35.3,31.6,3.7,-1.3,8.8
calgary,west,CYYC,nearest,spring,443,516,5000,5000,31.0,29.5,1.5,-3.6,6.6
calgary,west,CYYC,nearest,summer,378,530,5000,5000,41.7,44.0,-2.3,-8.4,3.7
calgary,west,CYYC,nearest,autumn,491,460,5000,5000,40.6,38.6,2.0,-3.6,7.9
calgary,west,CYYC,box3,full,1825,1928,5000,5000,36.3,36.4,-0.1,-2.8,2.5
calgary,west,CYYC,box3,calendar_JunNov,869,990,5000,5000,40.5,42.2,-1.7,-5.6,2.3
calgary,west,CYYC,box3,winter,513,422,5000,5000,34.8,31.6,3.2,-1.9,8.2
calgary,west,CYYC,box3,spring,443,516,5000,5000,29.8,29.3,0.6,-4.4,5.8
calgary,west,CYYC,box3,summer,378,530,5000,5000,40.3,44.9,-4.6,-10.4,1.3
calgary,west,CYYC,box3,autumn,491,460,5000,5000,40.7,39.0,1.6,-3.9,7.4
calgary,west,CYYC,box5,full,1825,1928,5000,5000,36.2,36.1,0.1,-2.6,2.8
calgary,west,CYYC,box5,calendar_JunNov,869,990,5000,5000,39.8,41.8,-2.0,-5.9,2.0
calgary,west,CYYC,box5,winter,513,422,5000,5000,34.7,31.6,3.1,-2.1,8.1
calgary,west,CYYC,box5,spring,443,516,5000,5000,31.1,28.9,2.2,-2.8,7.4
calgary,west,CYYC,box5,summer,378,530,5000,5000,38.5,44.6,-6.1,-12.2,-0.2
calgary,west,CYYC,box5,autumn,491,460,5000,5000,40.9,38.6,2.3,-3.3,8.2
edmonton,east,CYEG,nearest,full,1839,1906,5000,5000,33.2,34.8,-1.6,-4.3,1.1
edmonton,east,CYEG,nearest,calendar_JunNov,870,981,5000,5000,36.6,41.5,-4.9,-8.8,-1.0
edmonton,east,CYEG,nearest,winter,518,407,5000,5000,31.5,28.0,3.5,-1.8,8.5
edmonton,east,CYEG,nearest,spring,451,518,5000,5000,28.7,27.6,1.1,-4.2,6.4
edmonton,east,CYEG,nearest,summer,360,531,5000,5000,38.5,44.4,-5.9,-11.9,0.3
edmonton,east,CYEG,nearest,autumn,510,450,5000,5000,35.2,38.1,-2.8,-8.3,2.5
edmonton,east,CYEG,box3,full,1839,1906,5000,5000,32.7,35.0,-2.3,-5.0,0.5
edmonton,east,CYEG,box3,calendar_JunNov,870,981,5000,5000,36.0,41.4,-5.4,-9.3,-1.5
edmonton,east,CYEG,box3,winter,518,407,5000,5000,31.5,27.9,3.6,-1.4,8.5
edmonton,east,CYEG,box3,spring,451,518,5000,5000,27.8,28.4,-0.6,-5.6,4.8
edmonton,east,CYEG,box3,summer,360,531,5000,5000,38.3,43.9,-5.6,-11.8,0.5
edmonton,east,CYEG,box3,autumn,510,450,5000,5000,34.4,38.4,-4.1,-9.4,1.4
edmonton,east,CYEG,box5,full,1839,1906,5000,5000,32.7,35.0,-2.3,-5.1,0.4
edmonton,east,CYEG,box5,calendar_JunNov,870,981,5000,5000,36.1,41.2,-5.1,-8.9,-1.1
edmonton,east,CYEG,box5,winter,518,407,5000,5000,31.7,28.9,2.8,-2.4,8.0
edmonton,east,CYEG,box5,spring,451,518,5000,5000,27.4,28.3,-1.0,-6.1,4.4
edmonton,east,CYEG,box5,summer,360,531,5000,5000,38.9,43.5,-4.6,-10.4,1.5
edmonton,east,CYEG,box5,autumn,510,450,5000,5000,34.1,38.4,-4.3,-9.6,1.0
edmonton,east,CZVL,nearest,full,1839,1906,5000,5000,32.9,35.1,-2.2,-4.9,0.4
edmonton,east,CZVL,nearest,calendar_JunNov,870,981,5000,5000,34.7,40.5,-5.8,-9.5,-1.8
edmonton,east,CZVL,nearest,winter,518,407,5000,5000,32.5,29.0,3.5,-1.5,8.3
edmonton,east,CZVL,nearest,spring,451,518,5000,5000,29.8,29.7,0.2,-5.2,5.1
edmonton,east,CZVL,nearest,summer,360,531,5000,5000,40.3,42.9,-2.6,-8.5,3.5
edmonton,east,CZVL,nearest,autumn,510,450,5000,5000,30.8,37.7,-6.9,-12.1,-1.5
edmonton,east,CZVL,box3,full,1839,1906,5000,5000,33.8,35.4,-1.6,-4.3,1.0
edmonton,east,CZVL,box3,calendar_JunNov,870,981,5000,5000,35.9,41.4,-5.5,-9.2,-1.5
edmonton,east,CZVL,box3,winter,518,407,5000,5000,33.6,28.7,4.9,-0.3,9.9
edmonton,east,CZVL,box3,spring,451,518,5000,5000,30.0,29.4,0.7,-4.7,5.8
edmonton,east,CZVL,box3,summer,360,531,5000,5000,40.5,44.2,-3.7,-9.6,2.4
edmonton,east,CZVL,box3,autumn,510,450,5000,5000,32.7,38.1,-5.5,-10.8,0.1
edmonton,east,CZVL,box5,full,1839,1906,5000,5000,34.8,35.3,-0.4,-3.2,2.2
edmonton,east,CZVL,box5,calendar_JunNov,870,981,5000,5000,37.3,41.8,-4.5,-8.4,-0.5
edmonton,east,CZVL,box5,winter,518,407,5000,5000,34.4,26.9,7.4,2.1,12.4
edmonton,east,CZVL,box5,spring,451,518,5000,5000,30.6,29.5,1.1,-4.3,6.3
edmonton,east,CZVL,box5,summer,360,531,5000,5000,42.1,44.5,-2.3,-8.2,3.8
edmonton,east,CZVL,box5,autumn,510,450,5000,5000,33.9,38.7,-4.8,-10.0,0.5
edmonton,west,CYEG,nearest,full,1782,1900,5000,5000,33.0,36.6,-3.7,-6.4,-1.0
edmonton,west,CYEG,nearest,calendar_JunNov,826,979,5000,5000,34.3,41.3,-7.0,-11.0,-2.9
edmonton,west,CYEG,nearest,winter,518,405,5000,5000,33.3,33.2,0.1,-5.4,5.5
edmonton,west,CYEG,nearest,spring,438,516,5000,5000,30.0,30.3,-0.3,-5.2,4.9
edmonton,west,CYEG,nearest,summer,332,531,5000,5000,38.1,43.3,-5.3,-11.2,1.1
edmonton,west,CYEG,nearest,autumn,494,448,5000,5000,31.8,39.0,-7.2,-12.4,-2.2
edmonton,west,CYEG,box3,full,1782,1900,5000,5000,32.7,36.1,-3.3,-6.1,-0.6
edmonton,west,CYEG,box3,calendar_JunNov,826,979,5000,5000,33.9,41.2,-7.3,-11.2,-3.4
edmonton,west,CYEG,box3,winter,518,405,5000,5000,33.0,32.1,0.9,-4.6,6.4
edmonton,west,CYEG,box3,spring,438,516,5000,5000,30.2,29.4,0.8,-4.4,6.0
edmonton,west,CYEG,box3,summer,332,531,5000,5000,37.9,42.5,-4.7,-10.6,1.5
edmonton,west,CYEG,box3,autumn,494,448,5000,5000,31.2,39.5,-8.3,-13.7,-3.3
edmonton,west,CYEG,box5,full,1782,1900,5000,5000,33.0,36.3,-3.3,-6.1,-0.6
edmonton,west,CYEG,box5,calendar_JunNov,826,979,5000,5000,34.3,41.4,-7.2,-11.2,-3.2
edmonton,west,CYEG,box5,winter,518,405,5000,5000,33.2,32.7,0.5,-5.0,6.1
edmonton,west,CYEG,box5,spring,438,516,5000,5000,30.6,29.4,1.1,-4.0,6.2
edmonton,west,CYEG,box5,summer,332,531,5000,5000,38.0,43.0,-5.0,-10.9,1.2
edmonton,west,CYEG,box5,autumn,494,448,5000,5000,31.7,39.5,-7.8,-13.3,-2.7
halifax,east,CYAW,nearest,full,1920,1943,5000,5000,34.5,32.6,1.9,-0.7,4.5
halifax,east,CYAW,nearest,calendar_JunNov,939,988,5000,5000,43.2,40.2,3.0,-0.8,6.9
halifax,east,CYAW,nearest,winter,514,447,5000,5000,15.4,17.1,-1.7,-5.9,2.2
halifax,east,CYAW,nearest,spring,467,508,5000,5000,38.1,31.5,6.6,1.2,11.9
halifax,east,CYAW,nearest,summer,436,521,5000,5000,47.8,40.7,7.1,1.7,12.6
halifax,east,CYAW,nearest,autumn,503,467,5000,5000,39.3,39.6,-0.4,-6.0,5.0
halifax,east,CYAW,box3,full,1920,1943,5000,5000,34.5,33.9,0.6,-2.0,3.1
halifax,east,CYAW,box3,calendar_JunNov,939,988,5000,5000,42.6,39.8,2.9,-1.0,6.8
halifax,east,CYAW,box3,winter,514,447,5000,5000,16.3,22.5,-6.2,-10.7,-1.8
halifax,east,CYAW,box3,spring,467,508,5000,5000,38.0,32.5,5.6,0.2,11.0
halifax,east,CYAW,box3,summer,436,521,5000,5000,47.4,40.2,7.2,2.0,12.7
halifax,east,CYAW,box3,autumn,503,467,5000,5000,38.5,39.3,-0.8,-6.5,4.5
halifax,east,CYAW,box5,full,1920,1943,5000,5000,34.7,34.0,0.8,-1.8,3.3
halifax,east,CYAW,box5,calendar_JunNov,939,988,5000,5000,43.2,39.5,3.7,-0.1,7.5
halifax,east,CYAW,box5,winter,514,447,5000,5000,16.9,23.9,-7.0,-11.6,-2.4
halifax,east,CYAW,box5,spring,467,508,5000,5000,37.3,32.0,5.3,-0.0,10.6
halifax,east,CYAW,box5,summer,436,521,5000,5000,47.0,40.0,7.0,1.7,12.6
halifax,east,CYAW,box5,autumn,503,467,5000,5000,39.9,39.0,0.9,-4.8,6.0
halifax,east,CYHZ,nearest,full,1920,1943,5000,5000,40.4,34.8,5.6,2.9,8.2
halifax,east,CYHZ,nearest,calendar_JunNov,939,988,5000,5000,46.7,38.4,8.2,4.2,12.3
halifax,east,CYHZ,nearest,winter,514,447,5000,5000,29.4,28.8,0.6,-4.6,5.5
halifax,east,CYHZ,nearest,spring,467,508,5000,5000,40.0,33.1,6.9,1.5,12.4
halifax,east,CYHZ,nearest,summer,436,521,5000,5000,50.0,38.8,11.2,5.7,16.6
halifax,east,CYHZ,nearest,autumn,503,467,5000,5000,43.8,38.0,5.8,0.2,11.3
halifax,east,CYHZ,box3,full,1920,1943,5000,5000,40.2,34.6,5.6,2.8,8.1
halifax,east,CYHZ,box3,calendar_JunNov,939,988,5000,5000,46.3,38.6,7.8,3.6,11.9
halifax,east,CYHZ,box3,winter,514,447,5000,5000,29.5,27.4,2.2,-2.9,6.9
halifax,east,CYHZ,box3,spring,467,508,5000,5000,39.5,33.3,6.2,0.8,11.6
halifax,east,CYHZ,box3,summer,436,521,5000,5000,49.8,39.1,10.8,5.1,16.2
halifax,east,CYHZ,box3,autumn,503,467,5000,5000,43.3,38.0,5.3,-0.4,10.9
halifax,east,CYHZ,box5,full,1920,1943,5000,5000,39.4,34.0,5.3,2.6,8.0
halifax,east,CYHZ,box5,calendar_JunNov,939,988,5000,5000,45.4,38.2,7.2,3.1,11.2
halifax,east,CYHZ,box5,winter,514,447,5000,5000,28.9,27.1,1.8,-3.2,6.6
halifax,east,CYHZ,box5,spring,467,508,5000,5000,38.7,32.0,6.7,1.4,12.1
halifax,east,CYHZ,box5,summer,436,521,5000,5000,48.0,39.1,8.9,3.2,14.5
halifax,east,CYHZ,box5,autumn,503,467,5000,5000,43.2,37.2,6.0,0.4,11.4
montreal,east,CYHU,nearest,full,1906,1960,5000,5000,41.0,35.2,5.8,3.1,8.4
montreal,east,CYHU,nearest,calendar_JunNov,936,994,5000,5000,44.2,38.9,5.3,1.4,9.2
montreal,east,CYHU,nearest,winter,510,455,5000,5000,35.7,28.9,6.8,1.6,11.8
montreal,east,CYHU,nearest,spring,460,511,5000,5000,40.3,33.5,6.8,1.2,12.0
montreal,east,CYHU,nearest,summer,431,525,5000,5000,47.3,41.2,6.1,0.5,11.6
montreal,east,CYHU,nearest,autumn,505,469,5000,5000,41.6,36.4,5.2,-0.3,10.4
montreal,east,CYHU,box3,full,1906,1960,5000,5000,40.3,35.0,5.3,2.6,7.9
montreal,east,CYHU,box3,calendar_JunNov,936,994,5000,5000,43.5,39.0,4.5,0.6,8.5
montreal,east,CYHU,box3,winter,510,455,5000,5000,34.7,28.3,6.4,1.3,11.5
montreal,east,CYHU,box3,spring,460,511,5000,5000,39.9,33.2,6.7,1.1,12.1
montreal,east,CYHU,box3,summer,431,525,5000,5000,46.7,41.7,5.0,-0.7,10.7
montreal,east,CYHU,box3,autumn,505,469,5000,5000,40.8,36.0,4.8,-0.8,10.0
montreal,east,CYHU,box5,full,1906,1960,5000,5000,38.7,34.4,4.3,1.6,7.0
montreal,east,CYHU,box5,calendar_JunNov,936,994,5000,5000,42.6,38.6,4.0,0.0,8.1
montreal,east,CYHU,box5,winter,510,455,5000,5000,31.7,27.3,4.5,-0.6,9.4
montreal,east,CYHU,box5,spring,460,511,5000,5000,38.6,32.5,6.1,0.4,11.3
montreal,east,CYHU,box5,summer,431,525,5000,5000,46.4,42.4,4.0,-1.5,9.7
montreal,east,CYHU,box5,autumn,505,469,5000,5000,39.3,34.3,5.0,-0.6,10.1
montreal,east,CYUL,nearest,full,1906,1960,5000,5000,40.4,34.2,6.2,3.5,8.8
montreal,east,CYUL,nearest,calendar_JunNov,936,994,5000,5000,45.5,40.0,5.4,1.5,9.5
montreal,east,CYUL,nearest,winter,510,455,5000,5000,30.2,22.6,7.6,2.6,12.2
montreal,east,CYUL,nearest,spring,460,511,5000,5000,41.3,33.3,8.1,2.4,13.4
montreal,east,CYUL,nearest,summer,431,525,5000,5000,48.9,44.9,4.1,-1.5,10.0
montreal,east,CYUL,nearest,autumn,505,469,5000,5000,42.5,34.7,7.9,2.6,13.2
montreal,east,CYUL,box3,full,1906,1960,5000,5000,39.6,34.1,5.5,2.8,8.2
montreal,east,CYUL,box3,calendar_JunNov,936,994,5000,5000,45.3,39.9,5.4,1.5,9.4
montreal,east,CYUL,box3,winter,510,455,5000,5000,28.2,22.2,6.0,1.0,10.7
montreal,east,CYUL,box3,spring,460,511,5000,5000,40.7,33.4,7.3,1.8,12.7
montreal,east,CYUL,box3,summer,431,525,5000,5000,48.7,44.5,4.3,-1.2,10.2
montreal,east,CYUL,box3,autumn,505,469,5000,5000,42.4,34.9,7.5,1.9,12.8
montreal,east,CYUL,box5,full,1906,1960,5000,5000,39.8,34.5,5.3,2.6,7.9
montreal,east,CYUL,box5,calendar_JunNov,936,994,5000,5000,45.2,39.9,5.3,1.5,9.4
montreal,east,CYUL,box5,winter,510,455,5000,5000,29.0,24.0,5.0,-0.1,9.7
montreal,east,CYUL,box5,spring,460,511,5000,5000,40.7,33.4,7.3,1.7,12.8
montreal,east,CYUL,box5,summer,431,525,5000,5000,48.5,44.2,4.3,-1.2,10.3
montreal,east,CYUL,box5,autumn,505,469,5000,5000,42.4,35.1,7.3,1.8,12.6
ottawa,east,CYOW,nearest,full,1913,1964,5000,5000,40.5,35.0,5.4,2.8,8.2
ottawa,east,CYOW,nearest,calendar_JunNov,939,997,5000,5000,44.5,38.3,6.1,2.0,10.1
ottawa,east,CYOW,nearest,winter,511,456,5000,5000,33.7,29.1,4.6,-0.7,9.6
ottawa,east,CYOW,nearest,spring,463,511,5000,5000,39.9,33.9,6.0,0.6,11.2
ottawa,east,CYOW,nearest,summer,433,525,5000,5000,49.1,40.1,8.9,3.2,14.5
ottawa,east,CYOW,nearest,autumn,506,472,5000,5000,40.5,36.4,4.1,-1.6,9.9
ottawa,east,CYOW,box3,full,1913,1964,5000,5000,40.8,34.6,6.2,3.5,8.9
