site,window,snow_thresh_cm,stratum,night_gap_pp,mcnemar_z,n_scenes
calgary,dynamic,5.0,dark,10.3,8.95,1414
edmonton,calendar,5.0,moonlit,-8.4,5.6,655
edmonton,calendar,5.0,dark,-0.6,0.54,1675
edmonton,dynamic,5.0,moonlit,-7.0,4.49,544
edmonton,dynamic,5.0,dark,-0.1,0.07,1364
halifax,calendar,5.0,moonlit,5.7,4.51,1097
halifax,calendar,5.0,dark,5.0,5.68,2227
halifax,dynamic,5.0,moonlit,4.2,2.97,879
halifax,dynamic,5.0,dark,3.4,3.49,1784
montreal,calendar,5.0,moonlit,15.4,9.21,754
montreal,calendar,5.0,dark,14.2,13.49,1735
montreal,dynamic,5.0,moonlit,15.5,9.03,704
montreal,dynamic,5.0,dark,14.6,13.04,1577
ottawa,calendar,5.0,moonlit,4.6,3.04,768
ottawa,calendar,5.0,dark,3.7,4.19,1751
ottawa,dynamic,5.0,moonlit,4.4,2.99,706
ottawa,dynamic,5.0,dark,4.0,4.43,1613
toronto,calendar,5.0,moonlit,10.5,6.77,760
toronto,calendar,5.0,dark,12.0,11.51,1749
toronto,dynamic,5.0,moonlit,10.4,7.34,897
toronto,dynamic,5.0,dark,11.3,11.49,1898
vancouver,calendar,5.0,moonlit,7.7,7.16,1052
vancouver,calendar,5.0,dark,7.7,9.31,2272
vancouver,dynamic,5.0,moonlit,6.7,6.04,921
vancouver,dynamic,5.0,dark,8.1,9.46,2179
winnipeg,calendar,5.0,moonlit,2.5,1.7,691
winnipeg,calendar,5.0,dark,7.1,7.13,1715
winnipeg,dynamic,5.0,moonlit,2.8,1.77,651
winnipeg,dynamic,5.0,dark,7.3,6.61,1468
